"","lat","lon","crop","average_predicted_yield","uncertainty","start_sowing_date","end_sowing_date","start_harvest_date","end_harvest_date","season"
"51","-14.74996695","12.75002055","MILLET","0.685485615217606","18","01/05","15/07","01/09","15/11","90-120 days"
"52","-14.58330025","12.75002055","MILLET","0.680014819794632","18","01/05","15/07","01/09","15/11","90-120 days"
"53","-14.41663355","12.75002055","MILLET","0.655336247843118","18","01/05","15/07","01/09","15/11","90-120 days"
"54","-14.24996685","12.75002055","MILLET","0.58604058201307","18","01/05","15/07","01/09","15/11","90-120 days"
"55","-14.08330015","12.75002055","MILLET","0.697870690559676","18","01/05","15/07","01/09","15/11","90-120 days"
"56","-13.91663345","12.75002055","MILLET","0.640424872044905","18","01/05","15/07","01/09","15/11","90-120 days"
"57","-13.74996675","12.75002055","MILLET","0.624277149891786","18","01/05","15/07","01/09","15/11","90-120 days"
"58","-13.58330005","12.75002055","MILLET","0.627702129814346","18","01/05","15/07","01/09","15/11","90-120 days"
"59","-13.41663335","12.75002055","MILLET","0.686935018998447","18","01/06","15/07","01/09","15/11","90-120 days"
"60","-13.24996665","12.75002055","MILLET","0.626604327522411","18","01/06","15/07","01/09","15/11","90-120 days"
"61","-13.08329995","12.75002055","MILLET","0.560712981790118","18","01/06","15/07","01/09","15/11","90-120 days"
"62","-12.91663325","12.75002055","MILLET","0.65217821238256","18","01/06","15/07","01/09","15/11","90-120 days"
"63","-12.74996655","12.75002055","MILLET","0.641129297879301","18","01/06","15/07","01/09","15/11","90-120 days"
"64","-12.58329985","12.75002055","MILLET","0.715241169982718","18","01/06","15/07","01/09","15/11","90-120 days"
"65","-12.41663315","12.75002055","MILLET","0.68688754751027","18","01/06","15/07","01/09","15/11","90-120 days"
"66","-12.24996645","12.75002055","MILLET","0.572123453433992","18","01/06","15/07","01/09","15/11","90-120 days"
"67","-12.0832997500000","12.75002055","MILLET","0.67562521045976","18","01/06","15/07","01/09","15/11","90-120 days"
"68","-11.916633050","12.75002055","MILLET","0.596847321786383","18","01/06","15/07","01/09","15/11","90-120 days"
"69","-11.74996635","12.75002055","MILLET","0.638662167920472","18","01/06","15/07","01/09","15/11","90-120 days"
"70","-11.58329965","12.75002055","MILLET","0.552681171042134","18","01/06","15/07","01/09","15/11","90-120 days"
"71","-11.4166329500000","12.75002055","MILLET","0.630082277371453","18","01/06","15/07","01/09","15/11","90-120 days"
"72","-16.74996735","12.91668725","MILLET","0.696740950616064","18","01/05","15/07","01/09","15/11","90-120 days"
"73","-16.58330065","12.91668725","MILLET","0.708949669911283","18","01/05","15/07","01/09","15/11","90-120 days"
"74","-16.41663395","12.91668725","MILLET","0.673987911961376","18","01/05","15/07","01/09","15/11","90-120 days"
"75","-16.24996725","12.91668725","MILLET","0.651047611543346","18","01/05","15/07","01/09","15/11","90-120 days"
"76","-16.08330055","12.91668725","MILLET","0.670186273387136","18","01/05","15/07","01/09","15/11","90-120 days"
"77","-15.91663385","12.91668725","MILLET","0.695326132569604","18","01/05","15/07","01/09","15/11","90-120 days"
"78","-15.74996715","12.91668725","MILLET","0.686255284404855","18","01/05","15/07","01/09","15/11","90-120 days"
"79","-15.58330045","12.91668725","MILLET","0.732606430887237","18","01/05","15/07","01/09","15/11","90-120 days"
"80","-15.41663375","12.91668725","MILLET","0.583293371322689","18","01/05","15/07","01/09","15/11","90-120 days"
"81","-15.24996705","12.91668725","MILLET","0.676179840517778","18","01/05","15/07","01/09","15/11","90-120 days"
"82","-15.08330035","12.91668725","MILLET","0.621157417884944","18","01/05","15/07","01/09","15/11","90-120 days"
"83","-14.91663365","12.91668725","MILLET","0.58079817442169","18","01/05","15/07","01/09","15/11","90-120 days"
"84","-14.74996695","12.91668725","MILLET","0.578751816247474","18","01/05","15/07","01/09","15/11","90-120 days"
"85","-14.58330025","12.91668725","MILLET","0.661332775740483","18","01/05","15/07","01/09","15/11","90-120 days"
"86","-14.41663355","12.91668725","MILLET","0.651829394666679","18","01/05","15/07","01/09","15/11","90-120 days"
"87","-14.24996685","12.91668725","MILLET","0.659615052027902","18","01/05","15/07","01/09","15/11","90-120 days"
"88","-14.08330015","12.91668725","MILLET","0.589600903131794","18","01/05","15/07","01/09","15/11","90-120 days"
"89","-13.91663345","12.91668725","MILLET","0.663381951912393","18","01/05","15/07","01/09","15/11","90-120 days"
"90","-13.74996675","12.91668725","MILLET","0.616592708899356","18","01/05","15/07","01/09","15/11","90-120 days"
"91","-13.58330005","12.91668725","MILLET","0.563919729950504","18","01/05","15/07","01/09","15/11","90-120 days"
"92","-13.41663335","12.91668725","MILLET","0.654422362410288","18","01/06","15/07","01/09","15/11","90-120 days"
"93","-13.24996665","12.91668725","MILLET","0.643475647852487","18","01/06","15/07","01/09","15/11","90-120 days"
"94","-13.08329995","12.91668725","MILLET","0.63380856692139","18","01/06","15/07","01/09","15/11","90-120 days"
"95","-12.91663325","12.91668725","MILLET","0.696638845589773","18","01/06","15/07","01/09","15/11","90-120 days"
"96","-12.74996655","12.91668725","MILLET","0.630860816947104","18","01/06","15/07","01/09","15/11","90-120 days"
"97","-12.58329985","12.91668725","MILLET","0.589910252395781","18","01/06","15/07","01/09","15/11","90-120 days"
"98","-12.41663315","12.91668725","MILLET","0.64925583936575","18","01/06","15/07","01/09","15/11","90-120 days"
"99","-12.24996645","12.91668725","MILLET","0.690538746312952","18","01/06","15/07","01/09","15/11","90-120 days"
"100","-12.0832997500000","12.91668725","MILLET","0.636728355896128","18","01/06","15/07","01/09","15/11","90-120 days"
"101","-11.916633050","12.91668725","MILLET","0.614576443187556","18","01/06","15/07","01/09","15/11","90-120 days"
"102","-11.74996635","12.91668725","MILLET","0.560745373742997","18","01/06","15/07","01/09","15/11","90-120 days"
"103","-11.58329965","12.91668725","MILLET","0.658931770935329","18","01/06","15/07","01/09","15/11","90-120 days"
"104","-11.4166329500000","12.91668725","MILLET","0.56619544475951","18","01/06","15/07","01/09","15/11","90-120 days"
"105","-16.74996735","13.08335395","MILLET","0.640696173364579","18","01/05","15/07","01/09","15/11","90-120 days"
"106","-16.58330065","13.08335395","MILLET","0.637999082646869","18","01/05","15/07","01/09","15/11","90-120 days"
"107","-16.41663395","13.08335395","MILLET","0.592271427175409","18","01/05","15/07","01/09","15/11","90-120 days"
"108","-16.24996725","13.08335395","MILLET","0.58203683313927","18","01/05","15/07","01/09","15/11","90-120 days"
"109","-16.08330055","13.08335395","MILLET","0.656728976715218","18","01/05","15/07","01/09","15/11","90-120 days"
"110","-15.91663385","13.08335395","MILLET","0.601284614681632","18","01/05","15/07","01/09","15/11","90-120 days"
"111","-15.74996715","13.08335395","MILLET","0.609378239092676","18","01/05","15/07","01/09","15/11","90-120 days"
"112","-15.58330045","13.08335395","MILLET","0.593967014821184","18","01/05","15/07","01/09","15/11","90-120 days"
"113","-15.41663375","13.08335395","MILLET","0.612699036319319","18","01/05","15/07","01/09","15/11","90-120 days"
"114","-15.24996705","13.08335395","MILLET","0.712971060685166","18","01/05","15/07","01/09","15/11","90-120 days"
"115","-15.08330035","13.08335395","MILLET","0.644250869563333","18","01/05","15/07","01/09","15/11","90-120 days"
"116","-14.91663365","13.08335395","MILLET","0.621137087874247","18","01/05","15/07","01/09","15/11","90-120 days"
"117","-14.74996695","13.08335395","MILLET","0.672136484042055","18","01/05","15/07","01/09","15/11","90-120 days"
"118","-14.58330025","13.08335395","MILLET","0.588185394951414","18","01/05","15/07","01/09","15/11","90-120 days"
"119","-14.41663355","13.08335395","MILLET","0.687278866958154","18","01/05","15/07","01/09","15/11","90-120 days"
"120","-14.24996685","13.08335395","MILLET","0.694855747201161","18","01/05","15/07","01/09","15/11","90-120 days"
"121","-14.08330015","13.08335395","MILLET","0.626283737019774","18","01/05","15/07","01/09","15/11","90-120 days"
